BB_Back: loc=<Vector (0.0000, 0.9650, 0.1200)>, dim=<Vector (5.3700, 0.1200, 0.2400)>
BB_Front: loc=<Vector (0.0000, -0.9650, 0.1200)>, dim=<Vector (5.3700, 0.1200, 0.2400)>
BB_Left: loc=<Vector (-2.6250, 0.0000, 0.1200)>, dim=<Vector (0.1200, 2.0500, 0.2400)>
BB_Right: loc=<Vector (2.6250, 0.0000, 0.1200)>, dim=<Vector (0.1200, 2.0500, 0.2400)>
Blind_0: loc=<Vector (-2.6250, 0.4700, 1.0300)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_1: loc=<Vector (-2.6250, 0.4700, 1.1600)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_2: loc=<Vector (-2.6250, 0.4700, 1.2900)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_3: loc=<Vector (-2.6250, 0.4700, 1.4200)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_4: loc=<Vector (-2.6250, 0.4700, 1.5500)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_5: loc=<Vector (-2.6250, 0.4700, 1.6800)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_6: loc=<Vector (-2.6250, 0.4700, 1.8100)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Blind_7: loc=<Vector (-2.6250, 0.4700, 1.9400)>, dim=<Vector (0.0400, 0.8000, 0.0300)>
Box_A1: loc=<Vector (0.5000, 0.8050, 0.2300)>, dim=<Vector (0.6400, 0.4400, 0.4200)>
Box_A2: loc=<Vector (0.5000, 0.8050, 0.6200)>, dim=<Vector (0.6000, 0.4000, 0.3400)>
Box_A3: loc=<Vector (0.5000, 0.8050, 0.9300)>, dim=<Vector (0.5800, 0.3800, 0.2600)>
Box_B1: loc=<Vector (-0.9600, 0.6250, 0.2200)>, dim=<Vector (0.7000, 0.5000, 0.4000)>
Box_B2: loc=<Vector (-0.9600, 0.6250, 0.6000)>, dim=<Vector (0.6600, 0.4600, 0.3400)>
Box_B3: loc=<Vector (-0.9600, 0.6250, 0.9100)>, dim=<Vector (0.6200, 0.4200, 0.2600)>
Box_U1: loc=<Vector (-0.9600, 0.7250, 0.2000)>, dim=<Vector (1.0400, 0.6400, 0.3600)>
Box_X1: loc=<Vector (1.5500, -0.4000, 0.2200)>, dim=<Vector (0.6600, 0.4800, 0.4000)>
Box_X2: loc=<Vector (1.5500, -0.4000, 0.6000)>, dim=<Vector (0.6200, 0.4400, 0.3400)>
BPrt_Body: loc=<Vector (0.4500, 0.6450, 1.1600)>, dim=<Vector (0.5600, 0.4400, 0.4000)>
BPrt_Lid: loc=<Vector (0.4500, 0.6450, 1.4000)>, dim=<Vector (0.6000, 0.4800, 0.1000)>
Cab_Body: loc=<Vector (1.4250, 0.6450, 0.4500)>, dim=<Vector (2.5200, 0.7600, 0.9000)>
Cab_Top: loc=<Vector (1.4250, 0.6450, 0.9300)>, dim=<Vector (2.5200, 0.7600, 0.0600)>
Cork_Board: loc=<Vector (-0.9600, 0.9850, 1.6200)>, dim=<Vector (1.1000, 0.0800, 0.8400)>
Desk_Leg_-15_16: loc=<Vector (-1.5450, 0.2650, 0.4000)>, dim=<Vector (0.0800, 0.0800, 0.8000)>
Desk_Leg_-15_24: loc=<Vector (-1.5450, 0.9850, 0.4000)>, dim=<Vector (0.0800, 0.0800, 0.8000)>
Desk_Leg_-2_16: loc=<Vector (-0.3750, 0.2650, 0.4000)>, dim=<Vector (0.0800, 0.0800, 0.8000)>
Desk_Leg_-2_24: loc=<Vector (-0.3750, 0.9850, 0.4000)>, dim=<Vector (0.0800, 0.0800, 0.8000)>
Desk_Shelf: loc=<Vector (-0.9600, 0.6250, 0.4300)>, dim=<Vector (1.2100, 0.7600, 0.0500)>
Desk_Top: loc=<Vector (-0.9600, 0.6250, 0.8000)>, dim=<Vector (1.2500, 0.8000, 0.0600)>
Door_Frame_Front: loc=<Vector (0.7500, -1.0250, 1.1000)>, dim=<Vector (1.0400, 0.2400, 2.2000)>
